step 0: train loss 4.2966, val loss 4.2990
iter 102: loss 3.4556, time 18426.04ms, mfu 0.04%
iter 103: loss 3.4665, time 18377.33ms, mfu 0.04%
iter 104: loss 3.4474, time 18470.69ms, mfu 0.04%
iter 105: loss 3.4639, time 18353.76ms, mfu 0.04%
iter 106: loss 3.4333, time 18487.79ms, mfu 0.04%
iter 107: loss 3.4398, time 18742.92ms, mfu 0.04%
iter 108: loss 3.4293, time 18343.23ms, mfu 0.04%
iter 109: loss 3.4172, time 18707.06ms, mfu 0.04%
iter 110: loss 3.4220, time 18708.18ms, mfu 0.04%
iter 111: loss 3.4078, time 18406.91ms, mfu 0.04%
iter 112: loss 3.4132, time 18577.16ms, mfu 0.04%
iter 113: loss 3.3907, time 18845.38ms, mfu 0.04%
iter 114: loss 3.4040, time 18882.07ms, mfu 0.04%
iter 115: loss 3.4025, time 18584.14ms, mfu 0.04%
iter 116: loss 3.3975, time 19002.62ms, mfu 0.04%
iter 117: loss 3.3681, time 19050.15ms, mfu 0.04%
iter 118: loss 3.3844, time 18768.15ms, mfu 0.04%
iter 119: loss 3.3442, time 18696.33ms, mfu 0.04%
iter 120: loss 3.3649, time 18845.42ms, mfu 0.04%
iter 121: loss 3.3501, time 19770.43ms, mfu 0.04%
iter 122: loss 3.3313, time 19634.49ms, mfu 0.04%
iter 123: loss 3.3308, time 18921.15ms, mfu 0.04%
iter 124: loss 3.3349, time 18536.35ms, mfu 0.04%
iter 125: loss 3.3209, time 19033.67ms, mfu 0.04%
iter 126: loss 3.3295, time 18645.96ms, mfu 0.04%
iter 127: loss 3.3317, time 18782.08ms, mfu 0.04%
iter 128: loss 3.3008, time 18851.25ms, mfu 0.04%
iter 129: loss 3.3072, time 18503.27ms, mfu 0.04%
iter 130: loss 3.2881, time 18344.75ms, mfu 0.04%
iter 131: loss 3.3076, time 18472.90ms, mfu 0.04%
iter 132: loss 3.2988, time 18420.95ms, mfu 0.04%
iter 133: loss 3.2838, time 18449.81ms, mfu 0.04%
iter 134: loss 3.2925, time 18552.12ms, mfu 0.04%
iter 135: loss 3.2808, time 18967.36ms, mfu 0.04%
iter 136: loss 3.2676, time 18460.41ms, mfu 0.04%
iter 137: loss 3.2638, time 19569.47ms, mfu 0.04%
iter 138: loss 3.2777, time 19003.19ms, mfu 0.04%
iter 139: loss 3.2647, time 18530.83ms, mfu 0.04%
iter 140: loss 3.2288, time 18356.39ms, mfu 0.04%
iter 141: loss 3.2561, time 18805.16ms, mfu 0.04%
iter 142: loss 3.2329, time 18906.99ms, mfu 0.04%
iter 143: loss 3.2127, time 18669.00ms, mfu 0.04%
iter 144: loss 3.2312, time 18510.88ms, mfu 0.04%
iter 145: loss 3.2357, time 18776.60ms, mfu 0.04%
iter 146: loss 3.2425, time 18903.73ms, mfu 0.04%
iter 147: loss 3.2201, time 18972.32ms, mfu 0.04%
iter 148: loss 3.2227, time 19064.20ms, mfu 0.04%
iter 149: loss 3.2120, time 18833.72ms, mfu 0.04%
iter 150: loss 3.2041, time 18721.70ms, mfu 0.04%
iter 151: loss 3.2001, time 18817.72ms, mfu 0.04%
iter 152: loss 3.2019, time 18767.08ms, mfu 0.04%
iter 153: loss 3.2059, time 18318.71ms, mfu 0.04%
iter 154: loss 3.1844, time 19132.00ms, mfu 0.04%
iter 155: loss 3.1573, time 19508.54ms, mfu 0.04%
iter 156: loss 3.1668, time 18870.74ms, mfu 0.04%
iter 157: loss 3.1810, time 18451.64ms, mfu 0.04%
iter 158: loss 3.1661, time 19187.57ms, mfu 0.04%
iter 159: loss 3.1466, time 19036.68ms, mfu 0.04%
iter 160: loss 3.1723, time 18628.50ms, mfu 0.04%
iter 161: loss 3.1625, time 18591.55ms, mfu 0.04%
iter 162: loss 3.1450, time 18856.27ms, mfu 0.04%
iter 163: loss 3.1401, time 18470.09ms, mfu 0.04%
iter 164: loss 3.1264, time 18907.54ms, mfu 0.04%
iter 165: loss 3.1418, time 19147.80ms, mfu 0.04%
iter 166: loss 3.1324, time 18726.13ms, mfu 0.04%
iter 167: loss 3.1354, time 18873.17ms, mfu 0.04%
iter 168: loss 3.1242, time 18802.91ms, mfu 0.04%
iter 169: loss 3.1319, time 18751.14ms, mfu 0.04%
iter 170: loss 3.1428, time 18975.00ms, mfu 0.04%
iter 171: loss 3.1145, time 19319.78ms, mfu 0.04%
iter 172: loss 3.1191, time 18467.19ms, mfu 0.04%
iter 173: loss 3.0999, time 19277.56ms, mfu 0.04%
iter 174: loss 3.1070, time 18808.29ms, mfu 0.04%
iter 175: loss 3.0840, time 19877.78ms, mfu 0.04%
iter 176: loss 3.0735, time 18503.54ms, mfu 0.04%
iter 177: loss 3.0545, time 19071.74ms, mfu 0.04%
iter 178: loss 3.0698, time 18924.11ms, mfu 0.04%
iter 179: loss 3.0659, time 19724.13ms, mfu 0.04%
iter 180: loss 3.0753, time 18993.49ms, mfu 0.04%
iter 181: loss 3.0445, time 18922.15ms, mfu 0.04%
iter 182: loss 3.0738, time 18930.98ms, mfu 0.04%
iter 183: loss 3.0525, time 18889.91ms, mfu 0.04%
